"id","api_datetime","ask","bid","market_date_time","regular_market_change_percent","regular_market_price","regular_market_time","symbol","type"
"85","1741937410","354.8","354.6","2025-03-14 15:15:00","3.0795977","354.8","1741936500","0388.HK","M5"
"86","1741937410","527","526.5","2025-03-14 15:15:08","3.8423645","527","1741936508","0700.HK","M5"
"87","1741937410","85.75","85.7","2025-03-14 15:15:03","0.116752446","85.75","1741936503","0005.HK","M5"
"88","1741937710","355","354.8","2025-03-14 15:20:00","3.137707","355","1741936800","0388.HK","M5"
"89","1741937710","527.5","527","2025-03-14 15:20:03","3.9408867","527.5","1741936803","0700.HK","M5"
"90","1741937710","85.7","85.65","2025-03-14 15:20:05","-0.05838068","85.6","1741936805","0005.HK","M5"
"91","1741938010","354.8","354.6","2025-03-14 15:25:07","3.0214972","354.6","1741937107","0388.HK","M5"
"92","1741938010","526.5","526","2025-03-14 15:25:08","3.6453202","526","1741937108","0700.HK","M5"
"93","1741938010","85.65","85.6","2025-03-14 15:25:02","-0.05838068","85.6","1741937102","0005.HK","M5"
"94","1741938315","355","354.6","2025-03-14 15:30:05","3.0795977","354.8","1741937405","0388.HK","M5"
"95","1741938315","526.5","526","2025-03-14 15:30:13","3.6453202","526","1741937413","0700.HK","M5"
"96","1741938315","85.65","85.6","2025-03-14 15:30:04","0","85.65","1741937404","0005.HK","M5"
"97","1741938610","354.8","354.6","2025-03-14 15:35:08","2.963388","354.4","1741937708","0388.HK","M5"
"98","1741938610","526","525.5","2025-03-14 15:35:08","3.6453202","526","1741937708","0700.HK","M5"
"99","1741938610","85.65","85.6","2025-03-14 15:35:08","0","85.65","1741937708","0005.HK","M5"
"100","1741938910","355","354.8","2025-03-14 15:40:07","3.0795977","354.8","1741938007","0388.HK","M5"
"101","1741938910","526.5","526","2025-03-14 15:40:07","3.8423645","527","1741938007","0700.HK","M5"
"102","1741938910","85.7","85.65","2025-03-14 15:40:02","0","85.65","1741938002","0005.HK","M5"
"103","1741939210","355.2","355","2025-03-14 15:45:05","3.0795977","354.8","1741938305","0388.HK","M5"
"104","1741939210","526","525.5","2025-03-14 15:45:09","3.546798","525.5","1741938309","0700.HK","M5"
"105","1741939210","85.7","85.65","2025-03-14 15:45:06","-0.05838068","85.6","1741938306","0005.HK","M5"
"106","1741939510","354.8","354.6","2025-03-14 15:50:08","2.963388","354.4","1741938608","0388.HK","M5"
"107","1741939510","525","524.5","2025-03-14 15:50:08","3.4482758","525","1741938608","0700.HK","M5"
"108","1741939510","85.7","85.65","2025-03-14 15:50:08","-0.05838068","85.6","1741938608","0005.HK","M5"
"109","1741939812","354.4","354.2","2025-03-14 15:55:09","2.963388","354.4","1741938909","0388.HK","M5"
"110","1741939812","524","523.5","2025-03-14 15:55:11","3.1527095","523.5","1741938911","0700.HK","M5"
"111","1741939812","85.65","85.6","2025-03-14 15:55:08","-0.116752446","85.55","1741938908","0005.HK","M5"
"112","1741940110","354.4","354.2","2025-03-14 15:59:59","2.963388","354.4","1741939199","0388.HK","M5"
"113","1741940110","524","523.5","2025-03-14 15:59:56","3.1527095","523.5","1741939196","0700.HK","M5"
"114","1741940110","85.65","85.6","2025-03-14 15:59:56","-0.116752446","85.55","1741939196","0005.HK","M5"
"115","1741940710","354.4","354.2","2025-03-14 16:08:28","2.9052875","354.2","1741939708","0388.HK","M5"
"116","1741940710","524","523.5","2025-03-14 16:08:28","2.7586207","521.5","1741939708","0700.HK","M5"
